,Address,Area,Baths,Beds,City,Half-Baths,Price
65,11003 Kewanee Drive,"1,875 sq. ft",Baths 2 baths,Beds 4 beds,Temple Terrace FL 33617,,"$280,000"
66,3602 Beechwood,858 sq. ft,Baths 1 bath,Beds 3 beds,Tampa FL 33619,,"$71,900"
67,5715 Yeats Manor Drive 201,"2,982 sq. ft",Baths 3 baths,Beds 3 beds,Tampa FL 33616,1 half bath,"$1,150,000"
68,3507 W Corona Street,"2,791 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33629,,"$689,900"
69,3503 W Price Avenue,"2,624 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33611,,"$514,900"
70,10603 Keswick Place,"2,882 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33626,,"$499,000"
71,16305 Dobson Court,"3,162 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33647,,"$490,000"
72,12463 Streamdale Drive,"2,230 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33626,1 half bath,"$318,700"
73,2111 S Village Avenue,"2,409 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33612,,"$299,900"
74,11523 Areca Road,"1,782 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33618,,"$299,500"
75,6714 N 12th Street,"1,235 sq. ft",Baths 2 baths,Beds 4 beds,Tampa FL 33604,,"$299,000"
76,6714 N 12th Street,"1,235 sq. ft",Baths 2 baths,Beds 4 beds,Tampa FL 33604,,"$299,000"
77,5916 Birchwood Drive,"1,440 sq. ft",Baths 2 baths,Beds 2 beds,Tampa FL 33625,,"$215,000"
78,5916 Birchwood Drive,"1,440 sq. ft",Baths 2 baths,Beds 2 beds,Tampa FL 33625,,"$215,000"
79,1709 E Hanna Avenue,"1,158 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33610,,"$209,900"
80,4723 W Wyoming Avenue,"1,196 sq. ft",Baths 2 baths,Beds 4 beds,Tampa FL 33616,,"$225,000"
81,510 N Bradford Avenue,"1,056 sq. ft",Baths 2 baths,Beds 2 beds,Tampa FL 33609,,"$200,000"
82,2424 W Tampa Bay Boulevard I-105,792 sq. ft,Baths 1 bath,Beds 1 bed,Tampa FL 33607,,"$199,800"
83,2807 W Estrella Street 3,936 sq. ft,Baths 1 bath,Beds 1 bed,Tampa FL 33629,,"$189,000"
84,12650 Castle Hill Drive,"1,005 sq. ft",Baths 2 baths,Beds 2 beds,Tampa FL 33624,,"$135,000"
85,4107 N 29th Street,846 sq. ft,Baths 1 bath,Beds 3 beds,Tampa FL 33610,,"$76,000"
86,10702 Laurel Vista Way,"4,978 sq. ft",Baths 4 baths,Beds 5 beds,Tampa FL 33647,1 half bath,"$527,000"
87,5804 Tampa Shores Blvd,"2,125 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33615,,"$480,000"
